Post Title,Post Language,Post Slug,Broken URL,Category
"10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/surf-ericeira/","Blog post slug mismatch"
"10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","/blog/6-types-of-guests-you- kannst-dich-mit-einem-treffen-in-unserem-surfcamp-portugal/","Blog post slug mismatch"
"10 Unique and Incredibly Fun Things To Do In Costa Rica","en","10-fun-things-to-do-in-costa-rica","/blog/top-5-surf-spots-in-playa-avellanas-costa-rica","Blog post slug mismatch"
"47 Surfing Terms To Speak Surf Like a Pro","en","speak-like-a-surfer","/blog/visiting-playa-avellanas-costa-rica-rapture-surfcamps","Blog post slug mismatch"
"6 Ways to Improve Your Surfing Skills","en","how-to-improve-your-surfing-in-6-easy-steps","/blog/surf-school-in-portugal","Blog post slug mismatch"
"8 Travel Tips for your Beginner Surf Trip to Bali","en","expert-travels-tips-first-learn-to-surf-trip-to-bali","/blog/surf-lessons-bali","Blog post slug mismatch"
"9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Blog post slug mismatch"
"9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/blog/planning-a-surf-trip-to-the-tropics-here-are-10-essentials-you-shouldnt-leave-home-without","Blog post slug mismatch"
"9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Blog post slug mismatch"
"All About Booking Surf Lessons in Costa Rica","en","surf-camp-and-surf-lessons-in-costa-rica-everything-you-need-to-know","/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Blog post slug mismatch"
"Bali Surf Resorts –  Your Gateway to World-Class Waves and Tropical Bliss","en","surf-resort-bali","/blog/surf-tips-beginners-learn-to-surf","Blog post slug mismatch"
"Best Surf Bikinis: Comfort, Style, And Performance","en","best-surf-bikinis","/blog/the-best-surf-clothing-brands-in-2024","Blog post slug mismatch"
"Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/booking-a-surf-camp-heres-what-to-look-for-when-making-your-decision","Blog post slug mismatch"
"Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/surf-school-in-portugal","Blog post slug mismatch"
"Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/booking-a-surf-camp-in-portugal-these-are-the-things-you-need-to-know-before-you-go","Blog post slug mismatch"
"Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/booking-a-surf-camp-in-portugal-these-are-the-things-you-need-to-know-before-you-go","Blog post slug mismatch"
"Booking a surf camp? Guide to Choosing the Right One","en","what-to-look-for-when-booking-a-surf-camp","/blog/visiting-playa-avellanas-costa-rica-rapture-surfcamps","Blog post slug mismatch"
"Booking a surf camp? Guide to Choosing the Right One","en","what-to-look-for-when-booking-a-surf-camp","/blog/booking-a-surf-camp-in-portugal-these-are-the-things-you-need-to-know-before-you-go","Blog post slug mismatch"
"Darum solltest du Bali in der Regenzeit besuchen","de","warum-bali-in-der-regenzeit-besuchen-und-surfen","https://www.rapturecamps.com/de/blog/surfing-uluwatu/","Blog post slug mismatch"
"Der ultimative Leitfaden zum Surfen in Portugal – Rapture Surfcamps","de","der-ultimative-leitfaden-zum-surfen-in-portugal-rapture-surfcamps","https://www.rapturecamps.com/de/blog/surf-ericeira/","Blog post slug mismatch"
"Die besten Surfspots für Anfänger auf Bali","de","besten-surfspots-fur-anfanger-auf-bali","https://www.rapturecamps.com/blog/surf-tips-beginners-learn-to-surf/","Blog post slug mismatch"
"From Beginner to Pro: Top Surf Camps in Costa Rica for Every Skill Level","en","surf-school-costa-rica","/blog/top-5-surf-spots-in-playa-avellanas-costa-rica","Blog post slug mismatch"
"From Downward Dog to Hang Ten: The Ultimate Yoga Surfcamp Experience in Portugal","en","yoga-surfcamp-portugal","/blog/7-of-portugals-best-surf-spots","Blog post slug mismatch"
"Learn to Surf at the Best Surf Camp in Bali – Rapture Surfcamps","en","surf-school-bali","/blog/surf-tips-beginners-learn-to-surf","Blog post slug mismatch"
"Learn to Surf at the Best Surf Camp in Bali – Rapture Surfcamps","en","surf-school-bali","/blog/surf-tips-beginners-learn-to-surf","Blog post slug mismatch"
"Planning a Tropical Surf Trip? Don’t Forget to Pack these 10 Essentials!","en","planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget","/blog/booking-a-surf-camp-heres-what-to-look-for-when-making-your-decision","Blog post slug mismatch"
"Planning a Tropical Surf Trip? Don’t Forget to Pack these 10 Essentials!","en","planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget","/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Blog post slug mismatch"
"Planning Surf Holidays In Portugal? Here’s All You Need To Know","en","surf-holidays-portugal","/blog/surf-school-in-portugal","Blog post slug mismatch"
"Portugal Makes Waves: Liga MEO Pro Surf and Another Big Wave World Record for Garrett McNamara?","en","portugal-makes-waves-liga-meo-pro-surf-and-another-big-wave-record","/blog/nazare-mcnamaras-90ft-wave-rapture-surfcamps","Blog post slug mismatch"
"Portugal Travel Guide 2024 – All You Need to Know Before you Plan a Trip","en","portugal-travel-guide-all-you-need-to-know-before-you-plan-a-trip","/blog/whens-the-best-time-to-surf-in-portugal/https://www.rapturecamps.com/blog/whens-the-best-time-to-surf-in-portugal","Blog post slug mismatch"
"Surf Lessons in Portugal – The Best European Country to Learn the Art of Surfing","en","surf-lessons-in-ericeira-portugal","/blog/surf-apartments-in-ericeira-portugal","Blog post slug mismatch"
"Surfcamp buchen Portugal: Achte unbedingt darauf!","de","ein-surfcamp-buchen-in-portugal-darauf-musst-du-unbedingt-achten","https://www.rapturecamps.com/blog/7-portugal-best-surf-spots/","Blog post slug mismatch"
"Surfen in Nicaragua während der Regenzeit","de","surfen-in-nicaragua-in-der-regenzeit","https://www.rapturecamps.com/de/blog/surfkurse-nicaragua/","Blog post slug mismatch"
"Surfing Ericeira – Europe’s Only World Surfing Reserve","en","surf-ericeira","/blog/surf-school-in-ericeira-portugal","Blog post slug mismatch"
"Surfing Lessons in Portugal: Europe’s Best Place to Learn  Surfing","en","surf-lessons-in-portugal-the-best-country-in-europe-to-learn-the-art-of-surfing","/blog/surf-apartments-in-ericeira-portugal","Blog post slug mismatch"
"Surfkurse und Surfcamps in Nicaragua","de","surfkurse-surfcamp-nicaragua","https://www.rapturecamps.com/blog/surf-playa-maderas-nicaragua/","Blog post slug mismatch"
"Surfschule Nicaragua","de","surfschule-nicaragua","https://www.rapturecamps.com/de/blog/surfkurse-nicaragua/","Blog post slug mismatch"
"The 7 Spots for Surfing in Bali for Beginners","en","best-beginner-surf-spots-in-bali","/blog/surf-tips-beginners-learn-to-surf","Blog post slug mismatch"
"The Ultimate Couple Getaway? How About a Surf And Yoga Trip To Portugal","en","the-ultimate-couples-getaway-our-surf-camp-in-portugal","/blog/surf-school-in-portugal","Blog post slug mismatch"
"Tips to Pull off the Most Epic Surf Trip to Portugal","en","how-to-pull-off-a-surf-trip-in-portugal-this-summer","/blog/surf-school-in-ericeira-portugal","Blog post slug mismatch"
"Tips to Pull off the Most Epic Surf Trip to Portugal","en","how-to-pull-off-a-surf-trip-in-portugal-this-summer","/blog/booking-a-surf-camp-in-portugal-these-are-the-things-you-need-to-know-before-you-go","Blog post slug mismatch"
"Was du wissen solltest, bevor du ein Surfcamp in Bali buchst.","de","was-du-wissen-solltest-bevor-du-ein-surfcamp-in-bali-buchst","https://www.rapturecamps.com/blog/learning-to-surf-in-bali-heres-how-to-avoid-the-crowds-and-catch-more-waves/ ","Blog post slug mismatch"
"What is the Difference between a Surf Camp, a Surf House and a Surf School?","en","should-i-book-a-surf-camp-or-a-surf-school","/blog/surf-lessons-nicaragua-learn-to-surf","Blog post slug mismatch"
"What to Expect on your Surf Trip to Portugal?","en","what-to-know-before-booking-a-surf-camp-in-portugal","/blog/surf-school-in-ericeira-portugal","Blog post slug mismatch"
"What to Expect on your Surf Trip to Portugal?","en","what-to-know-before-booking-a-surf-camp-in-portugal","/blog/surf-school-in-ericeira-portugal","Blog post slug mismatch"
"10 Best Surf Spots in the World","en","top-10-surfing-destinations-in-the-world","http://edition.cnn.com/2013/06/30/travel/50-surf-spots/","External site dead/moved"
"10 Gründe, noch heute mit dem Surfen anzufangen!","de","10-gruende-noch-heute-mit-dem-surfen-anzufangen","https://neuroscience.stanford.edu/news/what-me-worry","External site dead/moved"
"10 Reasons to Start Surfing Today!","en","reasons-to-start-surfing-today","https://neuroscience.stanford.edu/news/what-me-worry","External site dead/moved"
"10 Reasons to Start Surfing Today!","en","reasons-to-start-surfing-today","http://www.surfcamp.travel/bali/","External site dead/moved"
"10 Reasons to Start Surfing Today!","en","reasons-to-start-surfing-today","http://www.surfcampinportugal.com/","External site dead/moved"
"29 Reasons Why Everyone Loves Surfing","en","why-is-surfing-popular","http://surfcamp.travel/bali","External site dead/moved"
"29 Reasons Why Everyone Loves Surfing","en","why-is-surfing-popular","http://surfcamp.travel/portugal","External site dead/moved"
"8 Travel Tips for your Beginner Surf Trip to Bali","en","expert-travels-tips-first-learn-to-surf-trip-to-bali","https://www.indonesia.travel/in/en/trip-ideas/visa-free-for-169-countries-to-travel-to-indonesia","External site dead/moved"
"A message from Rapturecamps about COVID-19","en","rapturecamps-response-to-coronavirus","https://www.indonesia.travel/gb/en/news/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response","External site dead/moved"
"A message from Rapturecamps about COVID-19","en","rapturecamps-response-to-coronavirus","https://apps.apple.com/pt/app/info-praia/id1467347173","External site dead/moved"
"A message from Rapturecamps about COVID-19","en","rapturecamps-response-to-coronavirus","https://play.google.com/store/apps/details?id=pt.apambiente.info_praia&hl=pt_PT","External site dead/moved"
"Die 10 besten Surfspots der Welt","de","die-10-besten-surfspots-der-welt","http://www.hotelclub.com/blog/10-of-the-worlds-best-surf-spots/","External site dead/moved"
"Die 10 besten Surfspots der Welt","de","die-10-besten-surfspots-der-welt","http://edition.cnn.com/2013/06/30/travel/50-surf-spots/","External site dead/moved"
"Die besten Surfspots für Anfänger auf Bali","de","besten-surfspots-fur-anfanger-auf-bali","https://balibelly.com/bingin/","External site dead/moved"
"Eco Surf Rescue Uluwatu: Keeping Uluwatu Clean!","en","eco-surf-rescue-uluwatu","https://xgames.espn.go.com/article/7265532/eco-warrior-james-pribram-returns-uluwatu-mission","External site dead/moved"
"Eco Surf Rescue Uluwatu! Öko Surf Rettung Uluwatu!","de","eco-surf-rescue-uluwatu","https://xgames.espn.go.com/article/7265532/eco-warrior-james-pribram-returns-uluwatu-mission","External site dead/moved"
"Nicaragua Travel Guide – What you Need to Know before Visiting","en","nicaragua-travel-guide-what-you-need-to-know","https://tui.co.uk/flight/costa-rica-flights","External site dead/moved"
"Portugal Travel Guide 2024 – All You Need to Know Before you Plan a Trip","en","portugal-travel-guide-all-you-need-to-know-before-you-plan-a-trip","https://tuifly.be/en/destinos/portugal","External site dead/moved"
"Savoring Tamarindo: A Surfers Guide To The Best Eats","en","best-eats-in-tamarindo","https://www.seasonstamarindo.net/","External site dead/moved"
"Surfen Ericeira","de","surfen-ericeira","https://vimeo.com/105491649","External site dead/moved"
"Surfen Uluwatu","de","surfen-uluwatu","https://www.bali.com/temple_Uluwatu_Pura-Luhur-Uluwatu_82.html","External site dead/moved"
"Surfing Ericeira – Europe’s Only World Surfing Reserve","en","surf-ericeira","https://www.ericeirablog.com/ericeira-and-its-king/","External site dead/moved"
"Surfing Uluwatu in Bali –  World-Class Reef Breaks in Bali","en","surfing-uluwatu","https://www.bali.com/temple_Uluwatu_Pura-Luhur-Uluwatu_82.html","External site dead/moved"
"6 Gründe für deinen ersten Surfurlaub in Nicaragua","de","6-grunde-fur-deinen-ersten-surfurlaub-in-nicaragua","https://www.rapturecamps.com/de/surfcamp/nicaragua/maderas/surfen/","German camp sub-page (old WP URL)"
"7 der verrücktesten Wellen der Welt und wo du sie findest","de","7-der-verrucktesten-wellen-der-welt-und-wo-du-sie-findest","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira-lizandro/surfen/","German camp sub-page (old WP URL)"
"Alles was du über unser Surfcamp in Costa Rica wissen musst","de","alles-was-du-uber-unser-camp-in-costa-rica-wissen-musst","https://www.rapturecamps.com/de/surfcamp/costa-rica/avellanas/zimmer/","German camp sub-page (old WP URL)"
"Sind die Wellen in Nicaragua immer offshore?","de","sind-die-wellen-in-nicaragua-immer-offshore","https://www.rapturecamps.com/de/surfcamp/nicaragua/maderas/surfen/","German camp sub-page (old WP URL)"
"Sind die Wellen in Nicaragua immer offshore?","de","sind-die-wellen-in-nicaragua-immer-offshore","https://www.rapturecamps.com/de/surfcamp/nicaragua/maderas/surfen/","German camp sub-page (old WP URL)"
"Soll ich ein Surfcamp oder eine Surfschule buchen?","de","soll-ich-ein-surfcamp-oder-eine-surfschule-buchen","https://www.rapturecamps.com/de/surfcamp/nicaragua/maderas/surfen/","German camp sub-page (old WP URL)"
"Soll ich ein Surfcamp oder eine Surfschule buchen?","de","soll-ich-ein-surfcamp-oder-eine-surfschule-buchen","https://www.rapturecamps.com/de/surfcamp/nicaragua/maderas/surfen/","German camp sub-page (old WP URL)"
"Strandhotels in Costa Rica: Worauf du unbedingt achten solltest","de","strandhotels-in-costa-rica-worauf-du-unbedingt-achten-solltest","https://www.rapturecamps.com/de/surfcamp/costa-rica/avellanas/essen/","German camp sub-page (old WP URL)"
"Surfen Ericeira","de","surfen-ericeira","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/zimmer/","German camp sub-page (old WP URL)"
"Surfen in Portugal: ein kurzer Überlick über die Geschichte dahinter","de","surfen-in-portugal-ein-kurzer-uberlick-uber-die-geschichte-dahinter","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira-lizandro/surfen/","German camp sub-page (old WP URL)"
"Surfen lernen in Ericeira, Portugal: Europas Top Ziel für einen Surfkurs","de","surfen-lernen-in-ericeira-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira-lizandro/surfen/","German camp sub-page (old WP URL)"
"Surfen Padang Padang","de","surfen-padang-padang","https://www.rapturecamps.com/de/surfcamp/bali/padang-padang/zimmer/","German camp sub-page (old WP URL)"
"Surfkurse und Surfcamps in Nicaragua","de","surfkurse-surfcamp-nicaragua","https://www.rapturecamps.com/de/surfcamp/nicaragua/maderas/surfen/","German camp sub-page (old WP URL)"
"Surfschule Costa Rica: Surf Lessons in Top-Qualität und in exklusiver Umgebung","de","surfschule-costa-rica","https://www.rapturecamps.com/de/surfcamp/costa-rica/avellanas/essen/","German camp sub-page (old WP URL)"
"Surfschule Costa Rica: Surf Lessons in Top-Qualität und in exklusiver Umgebung","de","surfschule-costa-rica","https://www.rapturecamps.com/de/surfcamp/costa-rica/avellanas/zimmer/","German camp sub-page (old WP URL)"
"Surfschule Portugal: Ericeira & Alentejo","de","surfschule-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira-lizandro/zimmer/","German camp sub-page (old WP URL)"
"Was du diesen Sommer in Portugal nicht verpassen darfst","de","was-du-diesen-sommer-in-portugal-nicht-verpassen-darfst","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira-lizandro/surfen/","German camp sub-page (old WP URL)"
"Yoga Surfcamp Bali","de","yoga-surfcamp-bali","https://www.rapturecamps.com/de/surfcamp/bali/padang-padang/zimmer/","German camp sub-page (old WP URL)"
"Yoga Surfcamp Bali","de","yoga-surfcamp-bali","https://www.rapturecamps.com/de/surfcamp/bali/green-bowl/zimmer/","German camp sub-page (old WP URL)"
"Ein Surftrip in die Tropen? Das musst du einpacken!","de","du-planst-einen-surftrip-in-die-tropen-10-dinge-die-du-einpacken-musst","https://www.rapturecamps.com/de/top-5-surf-spots-playa-avellanas-costa","German page (old WP URL)"
"Ein Surftrip in die Tropen? Das musst du einpacken!","de","du-planst-einen-surftrip-in-die-tropen-10-dinge-die-du-einpacken-musst","https://www.rapturecamps.com/de/costa-rica-surfcamp/","German page (old WP URL)"
"Ein Surftrip in die Tropen? Das musst du einpacken!","de","du-planst-einen-surftrip-in-die-tropen-10-dinge-die-du-einpacken-musst","https://www.rapturecamps.com/de/packing-list-costa-rica-nicaragua/","German page (old WP URL)"
"Surf Resort Bali","de","surf-resort-bali","https://www.rapturecamps.com/de/bali-surfcamp/surfschule/","German page (old WP URL)"
"Surf Resort Bali","de","surf-resort-bali","https://www.rapturecamps.com/de/bali-surfcamp/padang-padang-surfen/","German page (old WP URL)"
"Surf Resort Bali","de","surf-resort-bali","https://www.rapturecamps.com/de/bali-surfcamp/uluwatu-surfen/","German page (old WP URL)"
"Surfen in Costa Rica: 9 unschlagbare Gründe warum genau jetzt","de","surfen-lernen-in-costa-rica-9-grunde","https://www.rapturecamps.com/de/ blog/10-dinge-to-do-playa-avellanas-costa-rica/","German page (old WP URL)"
"Surfen lernen auf Bali? 5 Tipps Massen vermeiden & mehr Wellen surfen","de","surfen-lernen-auf-bali-ohne-crowd","https://www.rapturecamps.com/de/surfcamp /bali/padang-padang/","German page (old WP URL)"
"Surfschule Costa Rica: Surf Lessons in Top-Qualität und in exklusiver Umgebung","de","surfschule-costa-rica","https://www.rapturecamps.com/de/top-5-surf-spots-in-playa-avellanas-costa-rica/","German page (old WP URL)"
"10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/is-our-surf-camp- near-lisbon-right-for-you/","German post with English slug"
"10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/from-our-surf-house-in-ericeira-paddle-to-purpose/","German post with English slug"
"10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/nightlife-in-ericeira/","German post with English slug"
"10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/surfing-in-portugal-a-brief-history/","German post with English slug"
"5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/what-to-pack-for-costa-rica-and-nicaragua/","German post with English slug"
"5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now/","German post with English slug"
"5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/6-of-the-best-tips-for-beginner-surfers/","German post with English slug"
"5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/10-things-to-do-playa-avellanas-costa-rica/","German post with English slug"
"5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/sollte-ich-ein-surfcamp-oder-eine-surfschule-buchen/","German post with English slug"
"5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/booking-a-surf-camp-heres-what-to-look-for-when-making-your -Entscheidung/","German post with English slug"
