Priority,Type,Used On (# pages),Asset ID,Dimensions,Action,Image URL
Low,Content Image (Sanity),1,65e208be388a038d0fc04cc2c60eaeec197b3baf-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/65e208be388a038d0fc04cc2c60eaeec197b3baf-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,545e40218fbe452f8f7aecdf7f86a3277c9eda27-1920x1080.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/545e40218fbe452f8f7aecdf7f86a3277c9eda27-1920x1080.webp?w=1200&auto=format
Low,Content Image (Sanity),1,d91f6920f9e698ee288f52209ef3f4ada7db869b-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d91f6920f9e698ee288f52209ef3f4ada7db869b-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,f278e3aec68c75a18bc634c12c31172c36a2e596-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/f278e3aec68c75a18bc634c12c31172c36a2e596-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,93727259a0e4b7aa892865d217cc641375e77ef4-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/93727259a0e4b7aa892865d217cc641375e77ef4-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,05cbc941c8a8de9d1817edf02837973e2c1ac9e6-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/05cbc941c8a8de9d1817edf02837973e2c1ac9e6-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,d33257dac78f567067d618886f700ab88d6a3c1e-1000x667.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d33257dac78f567067d618886f700ab88d6a3c1e-1000x667.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,75c658cb4837518c5ed99cfc1d65652d89b0f8bc-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/75c658cb4837518c5ed99cfc1d65652d89b0f8bc-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,d08c511fbf4302ca2ba28c29b8bc6a73f5edeb70-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d08c511fbf4302ca2ba28c29b8bc6a73f5edeb70-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,61c6d88c3e67bf04cc54e19920d2c9b20e80d6cd-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/61c6d88c3e67bf04cc54e19920d2c9b20e80d6cd-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,0dc442b854a1a0730fbf2ef44b7b10025c0a6928-1499x1000.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/0dc442b854a1a0730fbf2ef44b7b10025c0a6928-1499x1000.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,69092ec3cf95595c886f7cf2e1472c655782c2ec-1920x1272.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/69092ec3cf95595c886f7cf2e1472c655782c2ec-1920x1272.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,8a4a1fed3ab93c95d0c049c19976e3f253ab13bb-1920x1080.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/8a4a1fed3ab93c95d0c049c19976e3f253ab13bb-1920x1080.webp?w=1200&auto=format
Low,Content Image (Sanity),1,b6ccdd1631f170b9c347b3c83ed823bdc7b2842f-1920x1275.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/b6ccdd1631f170b9c347b3c83ed823bdc7b2842f-1920x1275.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,3cdd7f5d7d85041c79a42b51f9d5efd50ce293ed-1667x1042.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/3cdd7f5d7d85041c79a42b51f9d5efd50ce293ed-1667x1042.webp?w=1200&auto=format
Low,Content Image (Sanity),1,a577fa29e7d41708971415b5e2f9f992ae34587a-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/a577fa29e7d41708971415b5e2f9f992ae34587a-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,6023d47c8ee567e0e66c5cc041029404ea08330b-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/6023d47c8ee567e0e66c5cc041029404ea08330b-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,880574c988649324bafb68c62ad22e4d03269d49-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/880574c988649324bafb68c62ad22e4d03269d49-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,2f89719e9a3a07c4601cfde65478d37d7b34144d-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/2f89719e9a3a07c4601cfde65478d37d7b34144d-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,7c797f79d542fc35d50dbc894ae6ca44f69e060c-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/7c797f79d542fc35d50dbc894ae6ca44f69e060c-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,163ae8b3e2ffeb5551c1a389af779cc3fa4c05ac-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/163ae8b3e2ffeb5551c1a389af779cc3fa4c05ac-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,e804512ecc27fdb9a96fa69734b9ab5ba483637e-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/e804512ecc27fdb9a96fa69734b9ab5ba483637e-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,636fa68fc99b755e5cffe9cdb8f32936dd2d9c3e-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/636fa68fc99b755e5cffe9cdb8f32936dd2d9c3e-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,32497f5792347615b4f48b12c28887204045f43e-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/32497f5792347615b4f48b12c28887204045f43e-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,046e77d36a8b0d6015f915aecf3ef1e6de5d5e1b-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/046e77d36a8b0d6015f915aecf3ef1e6de5d5e1b-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,e6721e57dfab0f99017af6d34b89bd3af94b11f5-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/e6721e57dfab0f99017af6d34b89bd3af94b11f5-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,57de5738d3de74d6916bcc5f08a0e9c972fd6168-800x534.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/57de5738d3de74d6916bcc5f08a0e9c972fd6168-800x534.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,da915ccdf27bfa3c2599cd6baefd0144817c3a70-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/da915ccdf27bfa3c2599cd6baefd0144817c3a70-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,9f6615acd5e4369803eea6c3cc90e9586419a672-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/9f6615acd5e4369803eea6c3cc90e9586419a672-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,1121890b762d8307a96d5dda83e59dd1295cd404-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/1121890b762d8307a96d5dda83e59dd1295cd404-1080x720.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,6be97aab051a04c925f41d4010161e45057b6b31-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/6be97aab051a04c925f41d4010161e45057b6b31-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,88fe07ef0cfab66eb78c1d08345570377e7d78b2-1920x1080.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/88fe07ef0cfab66eb78c1d08345570377e7d78b2-1920x1080.webp?w=1200&auto=format
Low,Content Image (Sanity),1,3e19bbdf0099916753beb7a63cd22d6e94cc7e39-1499x1000.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/3e19bbdf0099916753beb7a63cd22d6e94cc7e39-1499x1000.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,e7cd06ca5eae1dfe1ab3ba2b956775ed40de5da6-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/e7cd06ca5eae1dfe1ab3ba2b956775ed40de5da6-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,3c76467e23a2b107d415f47dd1fffdb7e401e7c0-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/3c76467e23a2b107d415f47dd1fffdb7e401e7c0-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,25c5cf4abb751f79a2f94a96b473195d86fd6791-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/25c5cf4abb751f79a2f94a96b473195d86fd6791-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,a773bd67a6be03ed4b04137e3e85618cc1029168-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/a773bd67a6be03ed4b04137e3e85618cc1029168-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,fee7bf613c2604046867b61bbf44f1912efe4ea0-780x336.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/fee7bf613c2604046867b61bbf44f1912efe4ea0-780x336.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,10205f9e04bcd88ed1e224f1db279d26e992a653-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/10205f9e04bcd88ed1e224f1db279d26e992a653-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,75e0968646a4230364a21319973aeccf81596fc7-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/75e0968646a4230364a21319973aeccf81596fc7-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,e23aa4c6b1b0916e460c24c7b9d7f6a377bf7050-1024x683.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/e23aa4c6b1b0916e460c24c7b9d7f6a377bf7050-1024x683.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,3537e434b4794c700260397153b94d957dc909c4-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/3537e434b4794c700260397153b94d957dc909c4-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,99274cf6248570a4113265e15671909d071c2628-1080x499.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/99274cf6248570a4113265e15671909d071c2628-1080x499.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,367b611b93e2f6a9012bc252be894caae11a8f31-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/367b611b93e2f6a9012bc252be894caae11a8f31-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,f2a38cecaca1e1e7be74ca8aa9e8e03c617d66d1-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/f2a38cecaca1e1e7be74ca8aa9e8e03c617d66d1-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,d19b99d784bbe4943a025e9c06a610436fe6fe07-1024x682.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d19b99d784bbe4943a025e9c06a610436fe6fe07-1024x682.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,ec69425bbbb534a71121208cdb0bee1da7325e5e-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/ec69425bbbb534a71121208cdb0bee1da7325e5e-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,be8908af70dac979c39881b5a9677ee646eb7a42-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/be8908af70dac979c39881b5a9677ee646eb7a42-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,27e8fba3a1e9dba68c062f72aa27e2d46f54ef47-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/27e8fba3a1e9dba68c062f72aa27e2d46f54ef47-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,9399860412ed553c52263f2a3568de8dda77bf2f-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/9399860412ed553c52263f2a3568de8dda77bf2f-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,f394ffdfed1ba1ddeb269787fdd4b6436a5f56a7-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/f394ffdfed1ba1ddeb269787fdd4b6436a5f56a7-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,491464f808bf86bf14550899603f74c3f9862a67-1280x1920.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/491464f808bf86bf14550899603f74c3f9862a67-1280x1920.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,7686264a3e817d29a3ea7166c600e726a609e380-1080x1350.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/7686264a3e817d29a3ea7166c600e726a609e380-1080x1350.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,6a384595b3030eaa423a8a80f56dcca2c18e8a25-1667x1042.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/6a384595b3030eaa423a8a80f56dcca2c18e8a25-1667x1042.webp?w=1200&auto=format
Low,Content Image (Sanity),1,87a7c28a588da9ce11649ad03ba363dd127c0af4-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/87a7c28a588da9ce11649ad03ba363dd127c0af4-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,c9e05cceb962093f90b74ac514cc2a4f4db78565-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/c9e05cceb962093f90b74ac514cc2a4f4db78565-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,d55437684ffb914416fa5fc76881dd58c5fd360f-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d55437684ffb914416fa5fc76881dd58c5fd360f-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,647d31f16f6f5259ca7891f4adc4794a43ca6871-784x434.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/647d31f16f6f5259ca7891f4adc4794a43ca6871-784x434.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,bcc861658ae8535f1061905a680c999c3bc71268-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/bcc861658ae8535f1061905a680c999c3bc71268-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,87d2d282ade97349f93d30dd9ca3e38ffdfe01ed-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/87d2d282ade97349f93d30dd9ca3e38ffdfe01ed-1920x1080.jpg?w=1200&auto=format
