Type,Lang,URL,Target Keyword,Page Title,Title Len,KW in Title,H1,KW in H1,Meta Description,Desc Status,KW in Desc,Issues
Country,EN,/surfcamp/portugal,Surf Camp Portugal,Top-Rated Surf Camps in Portugal: Ericeira & Milfontes · Rapture,64,NO,Surf Camp Portugal – Europe's Best Waves with Rapturecamps,YES,"Surf Europe's only World Surfing Reserve in Ericeira or discover Alentejo's empty beaches in Milfontes. Certified instructors, 100+ 5-star reviews. Flexible packages available.",Too long (176 chars),NO,KW missing from title; Meta desc too long (176); KW missing from desc
Country,DE,/de/surfcamp/portugal,Surfcamp Portugal,Top-bewertete Surfcamps in Portugal: Ericeira & Milfontes · Rapture,67,NO,Surf Camp Portugal – Europas beste Wellen mit Rapturecamps,NO,"Surfe in Europas einzigem World Surfing Reserve in Ericeira oder entdecke die leeren Strände des Alentejo in Milfontes. Zertifizierte Surflehrer, über 100 5-Sterne-Bewertungen. Flexible Pakete verfügbar.",Too long (203 chars),NO,KW missing from title; KW missing from H1; Meta desc too long (203); KW missing from desc
Country,EN,/surfcamp/bali,Surf Camp Bali,Award Winning Surf Camp Bali 20+ Years in Business · Rapture,60,YES,Surf Camp Bali – Ride the Indian Waves with Rapturecamps,YES,"Learn to surf in one week at Bali's most trusted surf camp. 20+ years, 85k+ happy guests, 100+ 5-star reviews. Certified instructors, yoga & Uluwatu waves.",OK (155 chars),NO,KW missing from desc
Country,DE,/de/surfcamp/bali,Surfcamp Bali,Ausgezeichnetes Surfcamp Bali 20+ Jahre Erfahrung · Rapture,59,YES,Surfcamp Bali – Reite die indischen Wellen mit Rapturecamps,YES,"In nur einer Woche Surfen lernen im vertrauenswürdigsten Surfcamp Balis. Über 20 Jahre, 85.000+ glückliche Gäste, 100+ 5-Sterne-Bewertungen. Zertifizierte Surflehrer, Yoga & Wellen in Uluwatu.",Too long (192 chars),YES,Meta desc too long (192)
Country,EN,/surfcamp/costa-rica,Surf Camp Costa Rica,"Surf Camp Costa Rica Playa Avellanas, Guanacaste · Rapture",58,YES,Surf Camp Costa Rica – Pura Vida Waves with Rapturecamps,YES,"Learn to surf in one week at our jungle camp in Playa Avellanas, 20 min from Tamarindo. Certified instructors, 27C water year-round, flexible packages & free cancellation.",Too long (171 chars),NO,Meta desc too long (171); KW missing from desc
Country,DE,/de/surfcamp/costa-rica,Surfcamp Costa Rica,"Surfcamp Costa Rica Playa Avellanas, Guanacaste · Rapture",57,YES,Surfcamp Costa Rica – Pura Vida Wellen mit Rapturecamps,YES,"Lerne in einer Woche Surfen in unserem Dschungelcamp in Playa Avellanas, 20 Min. von Tamarindo. Zertifizierte Lehrer, 27°C warmes Wasser das ganze Jahr, flexible Pakete & kostenlose Stornierung.",Too long (194 chars),NO,Meta desc too long (194); KW missing from desc
Camp,EN,/surfcamp/portugal/ericeira-lizandro,Surf Camp Ericeira,Surf Camp Ericeira – Beachfront Villa · Rapture,47,YES,Surf Camp Ericeira – Portugal,YES,"Stay in a traditional Portuguese villa steps from Foz do Lizandro beach. All levels welcome, chef-cooked dinners daily. Book your Ericeira surf week today.",OK (155 chars),NO,KW missing from desc
Camp,DE,/de/surfcamp/portugal/ericeira-lizandro,Surfcamp Ericeira,Surfcamp Ericeira – Villa direkt am Strand · Rapture,52,YES,Surfcamp Ericeira – Portugal,YES,"Traditionelle portugiesische Villa direkt am Foz do Lizandro Strand. Surfen für alle Levels, täglich frisch gekochtes Abendessen. Jetzt Platz sichern.",OK (150 chars),NO,KW missing from desc
Camp,EN,/surfcamp/portugal/ericeira-coxos-surf-villa,Surf Camp Coxos,Surf Villa Ericeira – Sea View Pool & Coxos Beach · Rapture,59,NO,Surf Villa Ericeira – Portugal,NO,"Stay above Coxos Beach in Europe's only World Surfing Reserve. All levels welcome, daily yoga, video coaching & sea-view pool included. Book your spot today.",OK (157 chars),NO,KW missing from title; KW missing from H1; KW missing from desc
Camp,DE,/de/surfcamp/portugal/ericeira-coxos-surf-villa,Surfcamp Coxos,Surf Villa Ericeira – Meerblick Pool & Luxus · Rapture,54,NO,Surf Villa Ericeira – Portugal,NO,"Surf Villa direkt über Coxos Beach – Europas einzigem World Surfing Reserve. Alle Levels, tägliches Yoga, Video-Coaching & Meerblick-Pool. Jetzt buchen.",OK (152 chars),NO,KW missing from title; KW missing from H1; KW missing from desc
Camp,EN,/surfcamp/portugal/alentejo-milfontes,Surf Camp Milfontes,Surf Camp Milfontes Alentejo - Eco Camp & Empty Waves · Rapture,63,YES,Surf Camp Milfontes – Portugal,YES,"Eco Surf Camp on a working farm in Alentejo. Uncrowded Atlantic waves, daily yoga & video analysis included. All levels welcome. Book your spot today.",OK (150 chars),NO,KW missing from desc
Camp,DE,/de/surfcamp/portugal/alentejo-milfontes,Surfcamp Milfontes,Surfcamp Milfontes Alentejo - Eco Camp & Leere Wellen · Rapture,63,YES,Surfcamp Milfontes – Portugal,YES,"Eco Surfcamp auf einer Farm in Alentejo. Leere Atlantikwellen, tägliches Yoga & Videoanalyse inklusive. Für alle Levels geeignet. Jetzt buchen.",OK (143 chars),NO,KW missing from desc
Camp,EN,/surfcamp/bali/padang-padang,Surf Camp Padang Padang,Surf Camp Padang Padang Bali - Legendary Waves · Rapture,56,YES,Surf Camp Padang Padang Bali - Indonesia,YES,"500m from Bali's legendary Balinese Pipeline. Expert coaches with 15+ years local knowledge, video analysis & daily yoga. All levels. Book your spot today.",OK (155 chars),NO,KW missing from desc
Camp,DE,/de/surfcamp/bali/padang-padang,Surfcamp Padang Padang,Surfcamp Padang Padang Bali - 500m zum Break · Rapture,54,YES,Surfcamp Padang Padang – Bali Indonesien,YES,"Nur 500m zur legendären Balinese Pipeline. Lokale Coaches mit 15+ Jahren Erfahrung, Video-Analyse & täglichem Yoga. Alle Levels willkommen. Jetzt buchen.",OK (153 chars),NO,KW missing from desc
Camp,EN,/surfcamp/bali/green-bowl,Surf Camp Green Bowl,Surf Camp Green Bowl Bali - Infinity Pool Views · Rapture,57,YES,Surf Camp Green Bowl Bali - Indonesia,YES,"Cliffside Surf Camp on Bukit Peninsula for all levels. Infinity pool with rainforest & ocean views, surf lessons & yoga included. Surfing since 2003. Book now.",OK (159 chars),NO,KW missing from desc
Camp,DE,/de/surfcamp/bali/green-bowl,Surfcamp Green Bowl,Surf Camp Green Bowl Bali - Infinity Pool · Rapture,51,NO,Surfcamp Green Bowl Bali - Indonesien,YES,Clifftop Surf Camp mit Infinity Pool über dem Indischen Ozean. In einer Woche Surfen lernen mit zertifizierten Surflehrer. Weltklasse Bukit Peninsula Wellen 2 Min vom Camp.,Too long (172 chars),NO,KW missing from title; Meta desc too long (172); KW missing from desc
Camp,EN,/surfcamp/costa-rica/avellanas,Surf Camp Avellanas,Surf Camp Avellanas Costa Rica - Infinity Pool · Rapture,56,YES,Surf Camp Avellanas Costa Rica – Central America,YES,"Escape to Playa Avellanas, Costa Rica. Our jungle surf camp offers pool, yoga and expert coaching just minutes from the beach. Start your surf adventure now!",OK (157 chars),NO,KW missing from desc
Camp,DE,/de/surfcamp/costa-rica/avellanas,Surfcamp Avellanas,Surfcamp Avellanas Costa Rica - Infinity Pool · Rapture,55,YES,Surfcamp Avellanas Costa Rica – Zentral Amerika,YES,"Direkt an 6 Surf-Spots in Guanacaste – für alle Level. Täglich Yoga, Videoanalyse & Mahlzeiten inklusive. Jetzt Platz sichern und Pura Vida erleben.",OK (148 chars),NO,KW missing from desc
Surf,EN,/surfcamp/portugal/ericeira-lizandro/surf,Surf School Ericeira,Surf School Ericeira - Beachfront Camp · Rapture,48,YES,Surf School Ericeira – Learn to Surf with Local Experts,YES,"Learn to surf in Europe's only World Surfing Reserve. Ride green waves within 7 days, backed by 21+ years of camp expertise. Book your spot in Ericeira today.",OK (158 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/portugal/ericeira-lizandro/surf,Surfschule Ericeira,Surfkurs Ericeira - Direkt am Strand Surfen · Rapture,53,NO,Surfschule Ericeira – Portugal,YES,Surfen lernen im einzigen World Surfing Reserve Europas. Grüne Wellen in 5 Tagen – mit 21+ Jahren Camp-Erfahrung direkt am Foz do Lizandro Beach. Jetzt buchen.,OK (159 chars),NO,KW missing from title; KW missing from desc
Surf,EN,/surfcamp/portugal/ericeira-coxos-surf-villa/surf,Surf Lessons Coxos,Surf School Ericeira – Coxos Surf Villa · Rapture,49,NO,Surf Lessons Ericeira – Portugal,NO,"Learn to surf at Europe's only World Surfing Reserve. Stay in our ocean-view villa above Coxos Beach with an infinity pool, daily lessons & shuttles.",OK (149 chars),NO,KW missing from title; KW missing from H1; KW missing from desc
Surf,DE,/de/surfcamp/portugal/ericeira-coxos-surf-villa/surf,Surfkurs Coxos,Surfschule Ericeira – Coxos Surf Villa · Rapture,48,NO,Surf Stunden Ericeira – Portugal,NO,"Surfen lernen im einzigen World Surfing Reserve Europas. Villa über dem Coxos Beach mit Infinity Pool, täglichen Surfkursen & 4 Shuttles. Jetzt buchen.",OK (151 chars),NO,KW missing from title; KW missing from H1; KW missing from desc
Surf,EN,/surfcamp/portugal/alentejo-milfontes/surf,Surf Lessons Milfontes,Surf Lessons Milfontes - Eco Camp in National Park · Rapture,60,YES,Surf Lessons Milfontes – Learn to Surf in Vila Nova de Milfontes,YES,"Learn to surf on uncrowded Alentejo beaches, inside a Natural Park. All-inclusive: lessons, daily meals & beach transfers included. Book your spot today.",OK (153 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/portugal/alentejo-milfontes/surf,Surfkurs Milfontes,Surfkurs Milfontes - Eco-Camp im Nationalpark · Rapture,55,YES,Surfkurs Milfontes – Portugal,YES,"Surfen lernen an ruhigen Stränden im Naturpark Alentejo. All-inclusive: Unterricht, tägliche Mahlzeiten & Strand-Transfer inklusive. Jetzt Platz sichern.",OK (153 chars),NO,KW missing from desc
Surf,EN,/surfcamp/bali/padang-padang/surf,Surf Lessons Padang Padang,Surf Lessons Padang Padang - Twice Daily · Rapture,50,YES,Surf Lessons Padang Padang – Bali,YES,"Learn on Padang Right or progress to the legendary Left. Tide-timed lessons twice daily, boards chosen for you. 85k+ surfers taught. Book your spot today.",OK (154 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/bali/padang-padang/surf,Surfkurs Padang Padang,Surfkurs Padang Padang - 2x täglich & Board inkl. · Rapture,59,YES,Surfkurs Padang Padang – Bali,YES,"Sanfte Wellen für Anfänger, legendäre Lefts für Fortgeschrittene – direkt am selben Strand. Gezeitenoptimiert, 2x täglich. Über 85k+ Surfer. Jetzt buchen.",OK (154 chars),NO,KW missing from desc
Surf,EN,/surfcamp/bali/green-bowl/surf,Surf Lessons Green Bowl,Surf Lessons Green Bowl Bali - Uncrowded Waves · Rapture,56,YES,Surf Lessons Green Bowl – Bali’s Hidden Surf Paradise,YES,"Learn to surf at Bali's most secluded beach. All levels, daily lessons, video analysis & transfers to 30+ spots included. Book your wave today.",OK (143 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/bali/green-bowl/surf,Surfkurs Green Bowl,Surfkurs Green Bowl Bali - Surfen ohne Massen · Rapture,55,YES,Surfkurs Green Bowl – Balis verborgenes Surfparadies,YES,"Surfunterricht für alle Level an Balis ruhigstem Strand. Tägliche Kurse, Videoanalyse & Transfers zu 30+ Spots inklusive. Jetzt Platz sichern.",OK (142 chars),NO,KW missing from desc
Surf,EN,/surfcamp/costa-rica/avellanas/surf,Surf Lessons Avellanas,Surf Lessons Avellanas Costa Rica - Jungle Camp · Rapture,57,YES,Surf Lessons Avellanas – Costa Rica,YES,"All-levels surf lessons steps from 6 breaks at Playa Avellanas. Stay in our awarded jungle camp with pool, yoga & locally-sourced meals. Book your stay today.",OK (158 chars),NO,KW missing from desc
Surf,DE,/de/surfcamp/costa-rica/avellanas/surf,Surfkurs Avellanas,Surfkurs Avellanas Costa Rica - Jungle Surfcamp · Rapture,57,YES,Surf Kurs Avellanas – Costa Rica,NO,"Surfkurse für alle Levels direkt an 6 Breaks in Playa Avellanas. Renoviertes Dschungel-Surfcamp mit Pool, Yoga & frischen Mahlzeiten. Jetzt Platz sichern.",OK (154 chars),NO,KW missing from H1; KW missing from desc
